What do you think about the behavior of Crimson One?,You will be presented with some statements. Please choose your level of agreement with the statements using the options given. ,Here is a reminder of the scenario in case you need it. Please take into account that all the questions will make reference to it:  Crimson One is an American construction business that builds residential properties in the USA. The business has around 300 employees. Crimson One has been operating for over ten years and its financial situation is very good. One day Crimson One owners decide to increase their profits and start employing cheaper materials to construct houses in low-income US suburbs where it can go unnoticed. The strategy is a success for Crimson One and the business owners decide to stick with it. However several American owners and tenants are eventually impacted by the use of cheap materials and they later find themselves spending money on house maintenance and repairs. ,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,,,,,,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep 2,Bla1,Bla2,Bla3,Iden1,Iden2,Iden3,Iden4,Iden5,Iden6,
,,,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,Dir2Rev,Dir4Rev,Ind2Rev,Ind4Rev,Total G,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep 2,Bla1,Bla2,Bla3,Iden1,Iden2,Iden3,Iden4,Iden5,Iden6,Total Ide.
Crimson One should be sued in a class action lawsuit. They are examples of why you cant trust private corporations.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,1,6,6,7,6,7,6,38
I think it is dishonest and wrong. ,,,7,1,5,1,7,1,2,2,7,7,7,6,48,2,2,6,6,2,2,6,6,2,5,6,5,5,4,5,5,5,29
Its borderline unethical to use materials of questionable quality in its products.,,,5,3,5,3,5,3,5,3,5,5,5,5,40,3,3,5,5,3,3,5,5,3,5,5,4,4,4,4,4,4,24
"I believe Crimson Ones behavior is unethical and almost criminal, because their actions will cost their clients a lot of money in the long run.",,,7,1,7,1,7,7,7,1,7,7,1,7,50,1,1,4,7,1,1,7,7,1,7,7,4,7,6,6,6,7,36
"I think it is typical corporate behavior when the sole focus is profit maximization. I think it is terrible that so many companies follow this same course of action. Higher quality products lead to better profits over the longer term. When quality falls short, the company typically ends up fighting to maintain a decent reputation.",,,6,3,6,1,7,1,5,4,5,7,7,4,47,4,5,4,6,2,1,7,6,2,7,7,7,7,6,7,5,6,38
"I think its shameful to, essentially, pass on the costs of construction to owners. Building to an acceptable standard is the companys responsibility.",,,7,1,5,1,7,1,7,1,7,7,7,7,54,1,1,6,7,1,1,7,7,1,7,7,5,5,5,3,6,4,28
"I think it is despicable. In my area, a company did something similar and the drywall used was extremely susceptible to mold making them uninhabitable safely but because of peoples desperate situation, they sometimes have no choice. ",,,7,1,7,1,7,1,5,1,7,7,7,7,54,1,1,4,7,1,1,7,7,1,7,7,4,4,3,2,1,4,18
I think is crooked and takes advantage not lower income people who do not have the means to sue when something goes wrong with the materials used by Crimson One.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,6,7,1,7,7,7,7,7,3,6,5,35
"Its sleazy. Theyre violating the trust that they earned with their previous good work, and theyre not devoting themselves to doing the best work they can.",,,6,2,6,2,5,1,6,3,6,6,7,5,47,4,4,4,5,2,4,6,6,2,6,6,6,6,5,5,5,4,31
"On the surface it sounds as though Crimson One is trying to rip off people who are buying their homes.  But if Crimson One is building cheaper homes for poorer buyers who are purchasing the homes because they are, in fact, cheap, then there might not be anything necessarily wrong with this tactic.  You get, as the saying goes, what you pay for.",,,5,3,7,3,5,3,5,2,5,5,5,6,43,1,1,6,6,1,1,5,5,1,7,7,7,7,7,6,7,6,40
I think that they should be responsible for using lower quality materials for building houses because it made it so that the people living in those houses had to spend time and money to fix the problems that were cause from Crimson One trying to save money.,,,6,2,6,2,6,2,5,2,6,6,6,6,47,1,1,6,5,2,2,6,6,2,6,6,6,7,6,6,6,6,37
Unethical,,,7,1,6,1,7,1,7,1,7,7,7,7,55,1,1,7,7,1,1,7,7,1,7,7,5,3,1,6,1,2,18
Im not fond of them using cheaper materials in order to shave off costs.,,,5,2,6,2,6,2,5,2,6,6,6,6,46,2,2,5,5,2,2,6,6,2,6,6,2,2,2,2,2,3,13
I think that Crimson One is not a very good construction business because they are using cheap materials to construct houses in low-income suburbs. It sounds like they are trying to get away with not using high quality materials and not providing a quality service for low-income areas. I think that Crimson One is not a trustworthy company because they are participating in this business practice to deceive their customers to save on costs.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,6,7,1,7,7,7,7,7,7,7,7,42
It is deceptive and very dishonest. This company is greedy and does not care about its consumers. ,,,7,1,7,1,7,1,6,1,7,7,7,7,55,2,2,7,7,1,1,7,7,1,7,7,6,5,5,5,6,5,32
I do not like the behavior of Crimson One. I think it is wrong that they are setting up people for failure in the future. It is even more wrong that they are doing this to people who are already at a disadvantage due to their economic status. ,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,7,42
The way that they choose to use cheaper materials for a higher profit seems somewhat unethical. ,,,5,2,6,3,6,3,5,3,6,5,5,5,43,4,3,4,5,1,2,6,6,2,6,6,4,5,5,5,5,5,29
Crimson Ones behavior is immoral and abhorent.  ,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,6,5,6,7,2,6,32
unethical,,,7,1,7,1,7,1,7,1,7,7,7,7,56,4,4,6,7,1,1,7,7,1,7,7,3,4,4,5,4,5,25
I think their behavior is morally bankrupt and despicable. ,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,7,42
"I think its expected and common with big corporations, which is exactly why I now go out of my way to avoid them as much as possible.",,,7,1,4,1,7,1,4,1,7,7,7,7,50,4,4,7,7,1,1,4,4,1,7,7,4,6,4,2,2,2,20
its not ethical. they are cheating people. its not a good practice.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,7,42
I feel like their behavior is disgusting and very selfish. The fact they trying to cheat people for financial gain is nasty and cold-hearted. ,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,4,1,7,7,7,7,7,7,7,7,42
That is not a way to run a business.  People could get hurt by faulty materials.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,7,7,7,1,1,7,7,1,7,7,7,7,7,7,7,7,42
Unethical and short-sighted. ,,,7,1,6,1,6,1,6,2,7,7,7,6,52,4,4,6,7,2,2,7,7,1,7,7,6,7,6,6,6,6,37
"I think its probably gross. It would be one thing if they were making things that were cheaper quality so that they can sell them at a lower price, but doing it to drive up profits isnt right. I hope another company comes in and takes their profits away by offering a fair price to those low-income households.",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,7,6,6,7,6,6,38
Terrible but sadly commonplace in todays world.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,7,42
Completely irresponsible and should be held accountable.,,,6,2,6,2,6,3,6,3,6,6,5,5,46,3,3,6,5,3,4,6,6,3,2,5,4,5,4,5,5,5,28
"Companies often try to maximize profits, but its unethical to do so in a way that causes a particularly vulnerable community to have difficulties maintaining their homes.",,,6,1,7,2,7,1,6,2,7,6,7,6,52,1,1,6,6,1,1,7,7,1,7,7,5,5,2,5,3,2,22
