What do you think about the behavior of Crimson One?,You will be presented with some statements. Please choose your level of agreement with the statements using the options given. ,Here is a reminder of the scenario in case you need it. Please take into account that all the questions will make reference to it:  Crimson One is an American construction business that builds residential properties in the USA. The business has around 300 employees. Crimson One has been operating for over ten years and its financial situation is very good. One day Crimson One owners decide to increase their profits and start employing cheaper materials to construct houses in low-income suburbs where it can go unnoticed. Similar strategies have been widely implemented across the industry for the last months by other USA companies. Crimson One owners decide to follow suit and do the same even though they don’t need to do this in order to continue being profitable and competitive. The strategy is a success for Crimson One and the business owners decide to stick with it. However many American homeowners and tenants are eventually impacted by the use of cheap materials and they later find themselves spending money on house maintenance and repairs. ,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,,,,,,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep 2,Bla1,Bla2,Bla3
,,,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,Dir2Rev,Dir4Rev,Ind2Rev,Ind4Rev,Total G,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep 2,Bla1,Bla2,Bla3
To increase profitability and little chance of being punished.,,,6,2,6,2,6,2,6,2,6,6,6,6,48,1,5,6,6,1,1,6,6,1,7,7
"I dislike that many companies do this in the industry, however I understand why Crimson One does it.",,,5,2,4,2,6,2,5,2,6,6,6,6,44,2,2,4,6,2,2,6,6,1,6,6
"The behavior of Crimson One is an unfortunate result of the business owners choosing short term profits over longer-term, more valuable customer satisfaction and referrals. The American homeowners and tenants now have to fix the building materials out of their own pocket while Crimson One reaps all the profits. This is an unfortunate situation that should be redressed in the courts by the homeowner and tenants making a case against Crimson One.",,,5,3,5,3,5,3,5,3,5,5,5,5,40,1,1,7,7,1,1,7,7,1,7,7
I think the behavior of Crimson One is selfish.,,,7,2,6,1,7,1,6,2,6,7,7,6,52,1,1,6,6,1,1,7,7,1,7,7
"While I don't like it - based on the scenario, the behavior had evolved into a somewhat standard behavior for the industry.  Based on this, I understand why they made the decision they did.  At the same time, they could have promoted themselves by marketing initiatives making known the fact that they use higher quality materials than some competitors.  This alone may have increased their profitability because many consumers are interested in quality.  And based on the scenario, they were profitable prior to moving to lower quality materials, which makes me frown on them all the more.  Seems their move to inferior quality materials was based on greed.",,,6,1,7,1,2,1,1,5,7,7,7,3,40,6,7,4,5,2,4,7,6,1,7,7
I think it's unethical and unfair to do what they did just for their own profit. They are untrustworthy and not a company I would want to work with.,,,7,1,7,1,7,1,7,2,7,7,7,6,55,1,1,7,7,1,1,7,7,1,7,7
The company CEO/mgmt needs to be fined and sent to jail.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
"I think that this type of behavior is uncalled for. If a person is buying a home then the construction company should build that home using the best materials. It takes most people at least 30 years to pay for their home, and this construction wants to cut corners just for a profit. In my opinion home should take these types of construction companies to court when they use cheap materials.",,,7,1,7,7,7,1,7,1,7,1,7,7,50,1,1,1,7,1,1,7,7,1,7,7
"I honestly expect no less from a company that is successful. If a company can find a way to cut corners and costs so they profit from it, then they will do it. I think it's unfortunate too since Crimson One using cheaper materials ends up costing the homeowners in the long run, specifically the ones with low income. They'll have a much harder time repairing anything because they lack the money.",,,5,2,5,1,5,1,4,2,6,7,7,6,45,1,1,6,5,1,1,7,6,1,7,7
"I think it’s unethical and money grabbing. And selfish, to boot.",,,5,2,6,2,6,1,6,1,6,6,7,7,49,1,1,7,7,1,1,7,5,1,6,7
I think Crimson One's behavior is immoral and unethical and they should be ashamed of themselves. They should be held accountable. The people they are selling to are buying in good faith that they are getting a sound product.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
I think it's reprehensible and based on greed.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
Its corrupt. ,,,5,2,6,3,7,5,5,3,6,5,3,5,42,5,4,5,5,2,2,5,5,2,6,6
Terrible.  They are defrauding customers.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,4,4,6,6,1,1,7,7,1,7,7
"I think it was an unnecessary risk.  It also is unfair and unethical to the home owners who then later have to repair the cheap materials.  If the homeowners found out about the use of cheaper materials, they may have grounds for a lawsuit.",,,6,2,6,2,6,2,6,2,6,6,6,6,48,1,1,7,7,1,1,7,7,1,7,7
I think their behavior is awful.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
Their behavior is unethical and preys upon the economically vulnerable in order to increase its profit margin.,,,7,1,6,1,7,2,6,1,7,7,6,7,53,1,1,7,7,1,1,7,7,1,7,7
It is wrong. They need to do things right to begin with. This practice will give them a bad reputation which could hurt business.,,,6,3,6,3,6,2,6,3,5,5,6,5,45,3,2,5,6,2,2,6,6,2,6,6
It's simple greed,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
"I don't like it and I disapprove. It's nasty behavior to cheat people like that, especially when they don't even need to do it to stay competitive since they were already successful and making money, but even if they weren't, it would still be unethical and morally wrong to do it.",,,7,2,6,1,7,1,6,1,6,7,7,7,53,1,1,6,6,1,1,7,5,1,7,6
I think that it is highly immoral but I know that most construction companies are like this now in our society,,,7,1,7,1,7,1,6,1,7,7,7,7,55,1,1,7,7,1,1,7,7,1,7,7
Horrible yet sadly typical in this day and age. Quality is pretty much a thing of the past.,,,7,2,7,1,7,1,7,2,6,7,7,6,54,2,2,7,7,2,1,7,6,1,7,7
I think it makes sense that a US business would do such acts..I think its wrong but it makes sense .,,,5,3,5,3,5,3,5,3,5,5,5,5,40,1,1,7,7,1,1,7,7,1,7,7
I believe it was unethical. ,,,6,1,6,2,7,1,6,1,7,6,7,7,52,1,1,6,6,1,1,7,6,1,7,6
"I understand they are doing what is best for their business and do think it is fair because other businesses are doing the same. However, I do think it would have been great for them to keep their materials cheaper, it would increase loyalty with customers.",,,5,4,7,2,5,3,2,4,4,6,5,4,38,5,5,4,6,2,6,7,5,1,5,7
It is definitly wrong to do this.,,,7,1,5,1,7,1,6,1,7,7,7,7,53,1,1,7,7,1,1,7,7,1,7,7
It fits right in with the way the American capitalist society is going. Many companies are employing this same method across all areas of life. It is disheartening and should be illegal.,,,7,1,7,1,7,1,4,1,7,7,7,7,53,1,1,7,7,1,7,7,7,1,7,7
Cutting corners to make a quick buck wasn't necessary. They could have gone the route advertising their quality construction. They've taken the opportunity to make themselves average.,,,6,3,6,1,7,1,6,1,5,7,7,7,51,1,1,5,7,1,2,7,7,1,7,7
Bad idea. Any short term profit will eventually result in complaints and potential lawsuits down the line. Not to mention that it's a low-life thing to do - and completely unnecessary for the solvency and success of the company.,,,5,2,6,3,6,2,4,3,6,5,6,5,43,2,2,4,5,2,4,4,5,1,7,6
I feel this is deplorable but common in the industry.,,,6,2,7,2,6,1,5,2,6,6,7,6,49,4,2,6,6,1,1,6,5,1,7,6
"I believe that they are just following suit of the other companies and trying to maximize their profits. I do not see any harm in this as I'm sure most construction companies, as mentioned in the article do the same thing. It is more costly for the consumer down the road, however profitability wise, they did was any company would choose to do.",,,3,2,5,2,6,2,2,4,6,6,6,4,38,4,5,2,5,4,3,5,5,2,4,4
very unprofessional,,,7,2,7,1,7,1,7,1,6,7,7,7,55,1,1,7,7,1,1,6,6,1,7,6
"I think it was shady. Even though other companies may be doing the same, a company should pride themselves in not following suite and not engaging in shady business practices to make more money. Especially when it will cost the people who buy these homes more money in the long run.",,,6,2,6,2,7,1,7,2,6,6,7,6,51,1,1,5,6,1,1,7,5,2,5,5
Totally unprofessional for their personal gain. Untrustworthy to homeowners.,,,6,2,6,2,6,2,6,2,6,6,6,6,48,1,1,6,1,1,1,6,7,1,7,7
I think it is wrong,,,6,2,6,2,6,2,6,2,6,6,6,6,48,4,4,6,6,2,2,6,6,2,6,6
I feel this behavior is dishonest and unfair. The company was already profitable without resorting to shady tactics. Everyone deserves to receive the quality product they are paying for. It is regrettable that the homeowners end up paying the repair costs.,,,7,1,6,1,7,1,6,1,7,7,7,7,54,1,1,6,6,1,1,7,7,1,6,6
It is standard in this day and age for businesses. I think it's disgusting and everything wrong with our society and systems. Profit is not more important than people.,,,7,1,7,1,7,1,5,1,7,7,7,7,54,1,1,7,7,1,1,6,6,1,3,6
"At the end of the day, it is  nothing personal, just business.  It is not fair to judge one when so many others do the same.  Purchasing, being gifted, or provided with free housing does not consist of the best of the best or permanent.  It is temp to get you to your next level.",,,3,4,5,3,4,3,3,3,4,5,5,5,34,2,4,4,4,4,5,3,2,6,2,5
I think Crimson One was trying to follow the trend in its industry.,,,5,2,6,2,6,2,5,3,6,6,6,5,45,3,3,5,5,3,2,5,5,1,2,5
Predictable for a bigger business to try to reduce costs ,,,5,3,6,2,5,4,5,3,5,6,4,5,41,6,4,3,5,5,4,6,5,5,4,6
"I think the behavior of Crimson One is unfortunate and morally wrong. It makes sense that they would do it because they are in a capitalist society that values profit over people, but it was the wrong thing to do.",,,6,3,7,1,7,1,5,2,5,7,7,6,50,1,1,5,6,1,1,7,7,1,7,7
"Deplorable. They're already making a good profit, there's no need to make American homeowners suffer just to line their own pockets a little more. This is how we get into issues like the Surfside condo collapse.",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
